text,intent
bro siang,salam
saya booking mobil minggu depan,booking_mobil
wajib deposit doang,syarat_lepas_kunci
include driver ga?,pakai_supir
assalamualaikum bro?,salam
butuh kyc gmn,syarat_lepas_kunci
mobil pajero sisa apa,tanya_mobil
kena brio mahal ga,tanya_harga
paling murah alphard murah ga,tanya_harga
harus npwp min,syarat_lepas_kunci
ok bro,penutup
tarif alphard mahal ga,tanya_harga
koleksi matic ready ga,tanya_mobil
sarat deposit apa,syarat_lepas_kunci
harganya berapa,tanya_harga
include driver bisa?,pakai_supir
pricelist brio mahal ga,tanya_harga
sore kak woy!,salam
gmn byr mbanking ya,pembayaran
butuh npwp gmn,syarat_lepas_kunci
byr pake cash?,pembayaran
cara byr spay ya,pembayaran
mobil keluaran taun brp,tanya_mobil
kalo pembayaran di akhir,pembayaran
gw pesen xpander buat besok,booking_mobil
sarat sim ga,syarat_lepas_kunci
mau order mobil buat besok,booking_mobil
siang sore!,salam
ada jasa driver ga?,pakai_supir
mobil agya yg ready,tanya_mobil
pilihan manual ada ga,tanya_mobil
cancel pesenan,pembatalan
bisa pembayaran cc,pembayaran
paling murah brio buat besok brp,tanya_harga
wajib lepas kunci ribet ga,syarat_lepas_kunci
tarif camry buat besok brp,tanya_harga
cabang nya dimana,lokasi_pool
thanks bro,penutup
sewa mahal ga,tanya_harga
bot,salam
cara sewa brio weekend,booking_mobil
bayarnya langsung di app?,pembayaran
siang assalamualaikum?,salam
cara pesen mbl,booking_mobil
perlu kyc apa aja,syarat_lepas_kunci
bot woy sore,salam
titik kumpul jauh ga,lokasi_pool
kalo sama supir biayanya brp,pakai_supir
paling mahal brio brp,tanya_harga
kak malam mbak!,salam
dengan supir ga?,pakai_supir
dokumen buat lepas kunci ribet ga,syarat_lepas_kunci
dokumen buat verif apa aja,syarat_lepas_kunci
aku pesen mbl weekend,booking_mobil
harga brio perhari brp,tanya_harga
sama driver ada ga?,pakai_supir
harus lepas kunci min,syarat_lepas_kunci
stok pajero ready ga,tanya_mobil
paling mahal alphard listnya mana,tanya_harga
brio ready ga buat besok,tanya_mobil
stok avanza apa aja,tanya_mobil
sore,salam
bisa tf langsung,pembayaran
hai bot!,salam
min siang kak,salam
ada fortuner ga buat sewa,tanya_mobil
bisa pembayaran spay?,pembayaran
min nerima gopay ga,pembayaran
cara pembayaran pake dana,pembayaran
butuh jaminan ga,syarat_lepas_kunci
nyicil pake cash,pembayaran
